id,Title,Facility Type,Address,Available Dates
1361,Magnolia Park Tennis Court 01,Tennis Court - Outdoor (Citywide),"Magnolia Park 1461 Magnolia BLVD W Seattle, WA, 98199",2024-10-06  04:00:00-23:30:00
2280,Madrona Playground Tennis Court 02,Tennis Court - Outdoor (Citywide),"Madrona Playground 3211 E Spring ST Seattle, WA, 98122","2024-10-06  06:00:00-08:15:00
2024-10-06  09:15:00-10:00:00
2024-10-06  11:30:00-13:00:00
2024-10-06  17:00:00-22:00:00"
2279,Madrona Playground Tennis Court 01,Tennis Court - Outdoor (Citywide),"Madrona Playground 3211 E Spring ST Seattle, WA, 98122",2024-10-06  06:00:00-22:00:00
1360,Madison Park Tennis Court 02,Tennis Court - Outdoor (Citywide),"Madison Park E Madison St & E Howe ST Seattle, WA, 98112",2024-10-06  04:00:00-23:30:00
1359,Madison Park Tennis Court 01,Tennis Court - Outdoor (Citywide),"Madison Park E Madison St & E Howe ST Seattle, WA, 98112","2024-10-06  04:00:00-11:00:00
2024-10-06  12:30:00-23:30:00"
359,Lower Woodland Playfield Tennis Court 07,Tennis Court - Outdoor (Citywide),"Lower Woodland Playfield 5773 WEST GREEN LAKE WAY N Seattle, WA, 98103","2024-10-06  07:00:00-08:00:00
2024-10-06  16:00:00-17:00:00
2024-10-06  19:30:00-22:00:00"
358,Lower Woodland Playfield Tennis Court 06,Tennis Court - Outdoor (Citywide),"Lower Woodland Playfield 5773 WEST GREEN LAKE WAY N Seattle, WA, 98103","2024-10-06  07:00:00-09:30:00
2024-10-06  12:30:00-15:00:00
2024-10-06  17:00:00-22:00:00"
357,Lower Woodland Playfield Tennis Court 05,Tennis Court - Outdoor (Citywide),"Lower Woodland Playfield 5773 WEST GREEN LAKE WAY N Seattle, WA, 98103","2024-10-06  07:00:00-09:30:00
2024-10-06  12:30:00-13:30:00
2024-10-06  15:30:00-16:00:00
2024-10-06  17:30:00-22:00:00"
356,Lower Woodland Playfield Tennis Court 04,Tennis Court - Outdoor (Citywide),"Lower Woodland Playfield 5773 WEST GREEN LAKE WAY N Seattle, WA, 98103","2024-10-06  07:00:00-09:30:00
2024-10-06  11:30:00-12:30:00
2024-10-06  14:30:00-22:00:00"
355,Lower Woodland Playfield Tennis Court 03,Tennis Court - Outdoor (Citywide),"Lower Woodland Playfield 5773 WEST GREEN LAKE WAY N Seattle, WA, 98103","2024-10-06  07:00:00-09:00:00
2024-10-06  16:00:00-16:30:00
2024-10-06  17:30:00-22:00:00"
354,Lower Woodland Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Lower Woodland Playfield 5773 WEST GREEN LAKE WAY N SEATTLE, WA, 98103",2024-10-06  07:00:00-22:00:00
353,Lower Woodland Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Lower Woodland Playfield 5773 WEST GREEN LAKE WAY N SEATTLE, WA, 98103",2024-10-06  07:00:00-22:00:00
1356,Laurelhurst Playfield Tennis Court 04,Tennis Court - Outdoor (Citywide),"Laurelhurst Playfield 4544 NE 41st ST Seattle, WA, 98105",2024-10-06  07:00:00-22:00:00
1355,Laurelhurst Playfield Tennis Court 03,Tennis Court - Outdoor (Citywide),"Laurelhurst Playfield 4544 NE 41st ST Seattle, WA, 98105","2024-10-06  07:00:00-10:00:00
2024-10-06  12:00:00-22:00:00"
1354,Laurelhurst Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Laurelhurst Playfield 4544 NE 41st ST Seattle, WA, 98105",2024-10-06  07:00:00-22:00:00
1353,Laurelhurst Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Laurelhurst Playfield 4544 NE 41st ST Seattle, WA, 98105","2024-10-06  07:00:00-09:00:00
2024-10-06  12:30:00-22:00:00"
778,Jefferson Park Lid Tennis Court Upper 02,Tennis Court - Outdoor (Citywide),"Jefferson Park (previously Lid Playfield) 3901 Beacon AVE S Seattle, WA, 98108",2024-10-06  07:00:00-22:00:00
2278,Jefferson Park Lid Tennis Court Lower 02,Tennis Court - Outdoor (Citywide),"Jefferson Park (previously Lid Playfield) 3901 Beacon AVE S Seattle, WA, 98108","2024-10-06  07:00:00-09:00:00
2024-10-06  11:00:00-11:16:00
2024-10-06  12:45:00-22:00:00"
2277,Jefferson Park Lid Tennis Court Lower 01,Tennis Court - Outdoor (Citywide),"Jefferson Park (previously Lid Playfield) 3901 Beacon AVE S Seattle, WA, 98108","2024-10-06  07:00:00-09:00:00
2024-10-06  12:00:00-22:00:00"
1348,Hiawatha Playfield Tennis Court 03,Tennis Court - Outdoor (Citywide),"Hiawatha Playfield 2700 SW California AVE SW Seattle, WA, 98116",2024-10-06  08:30:00-23:00:00
1347,Hiawatha Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Hiawatha Playfield 2700 SW California AVE SW Seattle, WA, 98116",2024-10-06  08:30:00-23:00:00
1346,Hiawatha Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Hiawatha Playfield 2700 SW California AVE SW Seattle, WA, 98116",2024-10-06  08:30:00-23:00:00
777,Jefferson Park Lid Tennis Court Upper 01,Tennis Court - Outdoor (Citywide),"Jefferson Park (previously Lid Playfield) 3901 Beacon AVE S Seattle, WA, 98108","2024-10-06  07:00:00-09:00:00
2024-10-06  11:00:00-22:00:00"
183,Green Lake Park West Tennis Court 02,Tennis Court - Outdoor (Citywide),"Green Lake Park 7201 E Green Lake DR N Seattle, WA, 98115",2024-10-06  00:00:00-00:00:00
181,Green Lake Park West Tennis Court 01,Tennis Court - Outdoor (Citywide),"Green Lake Park 7201 E Green Lake DR N Seattle, WA, 98115","2024-10-06  00:00:00-10:30:00
2024-10-06  13:30:00-00:00:00"
1345,Gilman Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Gilman Playfield 923 NW 54th ST Seattle, WA, 98107",2024-10-06  08:30:00-20:00:00
1344,Gilman Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Gilman Playfield 923 NW 54th ST Seattle, WA, 98107","2024-10-06  10:30:00-11:00:00
2024-10-06  12:00:00-13:00:00
2024-10-06  15:00:00-15:30:00
2024-10-06  18:00:00-20:00:00"
1342,Garfield Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Garfield Playfield 2323 E Cherry ST Seattle, WA, 98122","2024-10-06  06:00:00-09:30:00
2024-10-06  11:00:00-23:00:00"
1341,Garfield Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Garfield Playfield 2323 E Cherry ST Seattle, WA, 98122",2024-10-06  06:00:00-23:00:00
1340,Froula Playground Tennis Court 02,Tennis Court - Outdoor (Citywide),"Froula Playground 7200 12th AVE NE Seattle, WA, 98115",2024-10-06  07:00:00-21:00:00
1339,Froula Playground Tennis Court 01,Tennis Court - Outdoor (Citywide),"Froula Playground 7200 12th AVE NE Seattle, WA, 98115",2024-10-06  07:00:00-21:00:00
1338,Discovery Park Tennis Court 02,Tennis Court - Outdoor (Citywide),"Discovery Park 3801 Discovery Park BLVD Seattle, WA, 98199",2024-10-06  04:00:00-23:30:00
1337,Discovery Park Tennis Court 01,Tennis Court - Outdoor (Citywide),"Discovery Park 3801 Discovery Park BLVD Seattle, WA, 98199",2024-10-06  04:00:00-23:30:00
1336,Delridge Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Delridge Playfield 4458 Delridge WAY SW Seattle, WA, 98106","2024-10-06  08:00:00-09:00:00
2024-10-06  11:00:00-23:00:00"
1335,Delridge Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Delridge Playfield 4458 Delridge WAY SW Seattle, WA, 98106",2024-10-06  08:00:00-23:00:00
1334,Dearborn Park Tennis Court 02,Tennis Court - Outdoor (Citywide),"Dearborn Park 2919 S Brandon ST Seattle, WA, 98126",2024-10-06  04:00:00-23:30:00
1333,Dearborn Park Tennis Court 01,Tennis Court - Outdoor (Citywide),"Dearborn Park 2919 S Brandon ST Seattle, WA, 98126",2024-10-06  04:00:00-23:30:00
1332,David Rodgers Park Tennis Court 03,Tennis Court - Outdoor (Citywide),"David Rodgers Park 2800 1st AVE W Seattle, WA, 98119",2024-10-06  04:00:00-23:30:00
1316,Bitter Lake Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Bitter Lake Playfield 13035 Linden AVE N Seattle, WA, 98133","2024-10-06  07:00:00-09:00:00
2024-10-06  12:00:00-15:00:00
2024-10-06  19:00:00-21:45:00"
1315,Bitter Lake Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Bitter Lake Playfield 13035 Linden AVE N Seattle, WA, 98133","2024-10-06  07:00:00-09:00:00
2024-10-06  12:00:00-15:00:00
2024-10-06  20:00:00-21:45:00"
1320,Beacon Hill Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Beacon Hill Playfield 1902 13th AVE S Seattle, WA, 98144",2024-10-06  08:30:00-23:00:00
1319,Beacon Hill Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Beacon Hill Playfield 1902 13th AVE S Seattle, WA, 98144","2024-10-06  07:00:00-14:00:00
2024-10-06  18:00:00-21:00:00"
284,AYTC Outdoor Tennis Court 06,Tennis Court - Outdoor (AYTC),"Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144","2024-10-06  07:00:00-09:30:00
2024-10-06  12:30:00-19:30:00"
283,AYTC Outdoor Tennis Court 05,Tennis Court - Outdoor (AYTC),"Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144","2024-10-06  07:00:00-08:00:00
2024-10-06  12:30:00-14:00:00
2024-10-06  15:30:00-19:30:00"
282,AYTC Outdoor Tennis Court 04,Tennis Court - Outdoor (AYTC),"Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144","2024-10-06  07:00:00-08:00:00
2024-10-06  11:30:00-13:00:00
2024-10-06  15:00:00-19:30:00"
281,AYTC Outdoor Tennis Court 03,Tennis Court - Outdoor (AYTC),"Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144","2024-10-06  07:00:00-08:00:00
2024-10-06  09:30:00-10:00:00
2024-10-06  11:30:00-13:30:00
2024-10-06  14:30:00-19:30:00"
280,AYTC Outdoor Tennis Court 02,Tennis Court - Outdoor (AYTC),"Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144","2024-10-06  07:00:00-09:00:00
2024-10-06  12:30:00-14:00:00
2024-10-06  15:00:00-16:00:00
2024-10-06  18:00:00-19:30:00"
279,AYTC Outdoor Tennis Court 01,Tennis Court - Outdoor (AYTC),"Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144","2024-10-06  07:00:00-09:00:00
2024-10-06  12:00:00-14:00:00
2024-10-06  15:00:00-19:30:00"
1147,Alki Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Alki Playfield 5817 SW Lander ST Seattle, WA, 98136",2024-10-06  08:30:00-23:00:00
1146,Alki Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Alki Playfield 5817 SW Lander ST Seattle, WA, 98136","2024-10-06  08:30:00-09:30:00
2024-10-06  10:30:00-23:00:00"
